customer_id,customer_name,company_name,city,country_code,region,segment,registration_date,credit_limit
K00001,Lena Schneider,Schneider KG,Leipzig,DE,Nord,Kleinunternehmen,2023-04-04,8996.321093312014
K00002,Anna Becker,Becker e.K.,Leipzig,DE,West,Enterprise,2023-02-18,40925.43330087071
K00003,Marie Bauer,Bauer GmbH,Köln,DE,Nord,Kleinunternehmen,2023-07-15,6435.809951937918
K00004,Emma Hoffmann,Hoffmann KG,Hamburg,DE,Ost,Kleinunternehmen,2023-04-30,7056.586389260789
K00005,Julia Schmidt,,Düsseldorf,DE,Süd,Privatkunde,2024-02-16,523.9493783303213
K00006,Moritz Schneider,Schneider GmbH,Düsseldorf,DE,Ost,Kleinunternehmen,2024-07-20,3866.7706584104676
K00007,Moritz Schmidt,Schmidt AG,Graz,AT,West,Mittelstand,2023-07-10,38184.96824692567
K00008,Leon Schmidt,,Genf,CH,Deutschschweiz,Privatkunde,2024-05-28,1743.106263727894
K00009,Max Hoffmann,,Dresden,DE,Nord,Privatkunde,2024-04-18,1135.1022210595545
K00010,Lukas Müller,Müller KG,Leipzig,DE,Ost,Enterprise,2023-02-23,82845.27600144593
K00011,Felix Hoffmann,Hoffmann e.K.,Düsseldorf,DE,Süd,Mittelstand,2024-07-18,12862.30349471234
K00012,Laura Meyer,,Leipzig,DE,Nord,Privatkunde,2024-09-13,1341.8651387715518
K00013,Felix Wagner,,Hamburg,DE,Nord,Privatkunde,2024-03-05,1284.099244072991
K00014,Moritz Wagner,Wagner GmbH,Nürnberg,DE,Ost,Mittelstand,2023-07-18,26898.26715929151
K00015,Moritz Koch,,Innsbruck,AT,Ost,Privatkunde,2023-06-25,843.1972482374337
K00016,Lena Hoffmann,,Hamburg,DE,Süd,Privatkunde,2023-10-08,1184.8018557243654
K00017,Emma Schäfer,,Frankfurt,DE,Süd,Privatkunde,2022-12-14,1034.4467571154623
K00018,Jonas Fischer,,Zürich,CH,Deutschschweiz,Privatkunde,2024-08-30,1791.095874884515
K00019,Leon Müller,Müller KG,Leipzig,DE,West,Kleinunternehmen,2022-08-22,5032.11378552721
K00020,Max Schäfer,Schäfer e.K.,Zürich,CH,Romandie,Kleinunternehmen,2022-09-25,4388.367218690231
K00021,Max Koch,Koch GmbH,Berlin,DE,Nord,Mittelstand,2022-01-02,25080.370696865844
K00022,Lukas Schmidt,,Köln,DE,Ost,Privatkunde,2022-02-22,1234.1791404163446
K00023,Tim Müller,,Genf,CH,Deutschschweiz,Privatkunde,2024-02-06,1704.7096345698437
K00024,Moritz Müller,Müller GmbH,München,DE,Süd,Kleinunternehmen,2022-05-04,6311.49082555539
K00025,Sophie Schneider,Schneider AG,Linz,AT,West,Kleinunternehmen,2024-08-20,8571.257846047865
K00026,Laura Wagner,,Düsseldorf,DE,Ost,Privatkunde,2022-12-04,1756.5651588609921
K00027,Moritz Schäfer,Schäfer KG,Wien,AT,Ost,Mittelstand,2022-09-20,29799.521381025374
K00028,Anna Müller,Müller e.K.,Wien,AT,West,Kleinunternehmen,2023-03-29,9253.13542872498
K00029,Emma Schneider,Schneider e.K.,Dresden,DE,Nord,Kleinunternehmen,2022-06-01,5533.810953416426
K00030,Sophie Meyer,,Genf,CH,Deutschschweiz,Privatkunde,2022-04-14,1409.6435894893848
K00031,Anna Schmidt,,Dresden,DE,West,Privatkunde,2023-12-07,1537.84279653904
K00032,Max Weber,,Wien,AT,West,Privatkunde,2024-03-26,1619.7371076770362
K00033,Max Bauer,,Düsseldorf,DE,West,Privatkunde,2024-08-12,1051.5737045891503
K00034,Marie Becker,Becker KG,Stuttgart,DE,Süd,Kleinunternehmen,2022-01-27,8461.084776562364
K00035,Emma Schneider,Schneider e.K.,Berlin,DE,Nord,Mittelstand,2023-07-01,33056.62042918927
K00036,Jonas Weber,Weber ,Köln,DE,Süd,Kleinunternehmen,2023-05-12,6645.737251266175
K00037,Leon Wagner,Wagner GmbH,Berlin,DE,Ost,Mittelstand,2022-09-13,24558.39622828947
K00038,Lukas Becker,,Nürnberg,DE,West,Privatkunde,2023-11-17,645.7647406561529
K00039,Tim Schäfer,Schäfer AG,Stuttgart,DE,West,Mittelstand,2024-09-12,32223.058532626135
K00040,Paul Schäfer,Schäfer AG,Linz,AT,West,Kleinunternehmen,2024-05-16,4421.5520769584355
K00041,Paul Fischer,Fischer GmbH,Nürnberg,DE,West,Kleinunternehmen,2024-02-15,7764.751579432775
K00042,Julia Schmidt,Schmidt AG,Salzburg,AT,Ost,Kleinunternehmen,2024-03-10,6837.101057471305
K00043,Paul Meyer,Meyer AG,Dresden,DE,Süd,Kleinunternehmen,2023-07-24,2728.7518745428706
K00044,Julia Weber,Weber GmbH,Stuttgart,DE,West,Kleinunternehmen,2022-09-21,8274.951648239581
K00045,Paul Fischer,Fischer KG,Köln,DE,West,Mittelstand,2024-04-02,14150.59277253404
K00046,Lukas Müller,,München,DE,Ost,Privatkunde,2022-04-30,906.2483768931113
K00047,Leon Wagner,Wagner GmbH,Düsseldorf,DE,Süd,Enterprise,2024-06-26,55671.47083107025
K00048,Sarah Meyer,Meyer GmbH,Berlin,DE,West,Mittelstand,2023-05-03,38038.41992019129
K00049,Marie Wagner,Wagner KG,Düsseldorf,DE,Ost,Kleinunternehmen,2022-03-17,6745.279078705573
